Abr,word,,
ALTS,Altitude,,
ALT,Altitude,,
APCHS,Approach,,
APCH,Approach,,
APCHED,Approach,,
APCHING,Approach,,
ARPT,Airport,,
ARPTS,Airport,,
BAL,Balance,,
BALS,Balance,,
BALED,Balance,,
BALING,Balance,,
CHK,Check,,
CHKS,Check,,
CHKED,Check,,
CHKING,Check,,
CLB,Climb,,
CLBS,Climb,,
CLBED,Climb,,
CLBING,Climb,,
CLR,Clear,,
CLRS,Clear,,
CLRD,Clear,,
CLRED,Clear,,
CLRING,Clear,,
COM,Communication,,
COMS,Communication,,
CTL,Control,,
CTLS,Control,,
CTLED,Control,,
CTLING,Control,,
CONTROLR,controller,,
CTLR,Controller,,
CTLRS,Controller,,
CTLR'S,Controller,,
DEG,Degree,,
DEGS,Degree,,
DEG,Degree,,
DEGS,Degree,,
DEP,Departure,,
DEPS,Departure,,
DEPT,Department,,
DEPTS,Department,,
DEST,Destination,,
DESTS,Destination,,
DEV,Deviation,,
DEVS,Deviation,,
DSND,Descend,,
DSNDS,Descend,,
DSNDED,Descend,,
DSNDING,Descend,,
EMER,Emergency,,
EMERS,Emergency,,
FA'S,FA,,
FARS,FAR,,
FE'S,FE,,
FREQ,Frequency,,
FREQS,Frequency,,
FSS'S,FSSS,,
GND,Ground,,
GNDS,Ground,,
GNDED,Ground,,
GNDING,Ground,,
HELI,Helicopter,,
HELIS,Helicopter,,
HORIZ,Horizontal,,
HORIZLY,Horizontal,,
HR,Hour,,
HRS,Hour,,
HRLY,Hour,,
INST,Instrument,,
INSTS,Instrument,,
KT,Knot,,
KTS,Knot,,
LB,Pound,,
LBS,Pound,,
MIN,Minute,,
MINS,Minute,,
NAVS,Navigate,,
NAVING,Navigate,,
NAVS,Navigate,,
OP,Operation,,
OPS,Operation,,
PLT,Pilot,,
PLTS,Pilot,,
PLT'S,Pilot,,
PROBS,Problem,,
PROB,Problem,,
PROCS,Procedure,,
PROC,Procedure,,
PROP,Propeller,,
PROPS,Propeller,,
REF,Reference,,
REFS,Reference,,
REFED,Reference,,
REFING,Reference,,
REG,Regulation,,
REGS,Regulation,,
RWYS,Runway,,
RWY,Runway,,
SO'S,Second Officer,,
SPDING,Speed,,
SPDS,Speed,,
SPECS,Specification,,
SPEC,Specification,,
SUPVRS,Supervisor,,
SUPVR,Supervisor,,
SVCS,Service,,
SVC,Service,,
TEMP,Temperature,,
TEMPS,Temperature,,
TKOFS,Takeoff,,
TKOF,Takeoff,,
VERTLY,Vertical,,
VERT,Vertical,,
WKLY,Week,,
WKS,Week,,
WK,Week,,
WT,Weight,,
WTS,Weight,,
XMITING,Transmit,,
XMITS,Transmit,,
XMISSION,Transmission,,
XMIT,Transmit,,
XMISSION,Transmission,,
XMIT,Transmit,,
